date,timestamp,frequency,signals_json,fills_json,eod_portfolio_value,pnl_day,pnl_cum,cash,positions_json
2026-05-01,2026-05-01T09:30:00,daily,"{""gvz"":27.09,""in_pos"":false,""target_w"":0.0}",[],25000.0,0.0,0.0,25000.0,{}
2026-04-23,2026-04-23,daily,"{""gvz"":27.87,""in_pos"":false,""target_w"":0.0}",[],25000.0,0.0,0.0,25000.0,{}
2026-04-27,2026-04-27T21:00:00,daily,"{""gvz"":25.47,""in_pos"":false,""target_w"":0.0}",[],25000.0,0.0,0.0,25000.0,{}
2026-04-28,2026-04-28T21:00:00,daily,"{""gvz"":26.26,""in_pos"":false,""target_w"":0.0}",[],25000.0,0.0,0.0,25000.0,{}
2026-04-29,2026-04-29T21:00:00,daily,"{""gvz"":27.8,""in_pos"":false,""target_w"":0.0}",[],25000.0,0.0,0.0,25000.0,{}
2026-04-30,2026-04-30T21:00:00,daily,"{""gvz"":26.8,""in_pos"":false,""target_w"":0.0}",[],25000.0,0.0,0.0,25000.0,{}
2026-05-01,2026-05-01T21:00:00,daily,"{""gvz"":26.44,""in_pos"":false,""target_w"":0.0}",[],25000.0,0.0,0.0,25000.0,{}
2026-05-04,2026-05-04T21:00:00,daily,"{""gvz"":27.98,""in_pos"":false,""target_w"":0.0}",[],25000.0,0.0,0.0,25000.0,{}
2026-05-05,2026-05-05T21:00:00,daily,"{""gvz"":26.57,""in_pos"":false,""target_w"":0.0}",[],25000.0,0.0,0.0,25000.0,{}
2026-05-06,2026-05-06T21:00:00,daily,"{""gvz"":26.37,""in_pos"":false,""target_w"":0.0}",[],25000.0,0.0,0.0,25000.0,{}
2026-05-07,2026-05-07T21:00:00,daily,"{""gvz"":27.09,""in_pos"":false,""target_w"":0.0}",[],25000.0,0.0,0.0,25000.0,{}
2026-05-08,2026-05-08T21:00:00,daily,"{""gvz"":26.54,""in_pos"":false,""target_w"":0.0}",[],25000.0,0.0,0.0,25000.0,{}
2026-05-11,2026-05-11T21:00:00,daily,"{""gvz"":27.63,""in_pos"":false,""target_w"":0.0}",[],25000.0,0.0,0.0,25000.0,{}
2026-05-12,2026-05-12T21:00:00,daily,"{""gvz"":27.07,""in_pos"":false,""target_w"":0.0}",[],25000.0,0.0,0.0,25000.0,{}
2026-05-13,2026-05-13T21:00:00,daily,"{""gvz"":26.57,""in_pos"":false,""target_w"":0.0}",[],25000.0,0.0,0.0,25000.0,{}
2026-05-14,2026-05-14T21:00:00,daily,"{""gvz"":25.83,""in_pos"":false,""target_w"":0.0}",[],25000.0,0.0,0.0,25000.0,{}
2026-05-15,2026-05-15T21:00:00,daily,"{""gvz"":26.44,""in_pos"":false,""target_w"":0.0}",[],25000.0,0.0,0.0,25000.0,{}
2026-05-18,2026-05-18T21:00:00,daily,"{""gvz"":26.29,""in_pos"":false,""target_w"":0.0}",[],25000.0,0.0,0.0,25000.0,{}
2026-05-19,2026-05-19T21:00:00,daily,"{""gvz"":26.53,""in_pos"":false,""target_w"":0.0}",[],25000.0,0.0,0.0,25000.0,{}
2026-05-20,2026-05-20T21:00:00,daily,"{""gvz"":25.19,""in_pos"":false,""target_w"":0.0}",[],25000.0,0.0,0.0,25000.0,{}
2026-05-21,2026-05-21T21:00:00,daily,"{""gvz"":24.62,""in_pos"":false,""target_w"":0.0}",[],25000.0,0.0,0.0,25000.0,{}
2026-05-22,2026-05-22T21:00:00,daily,"{""gvz"":23.82,""in_pos"":false,""target_w"":0.0}",[],25000.0,0.0,0.0,25000.0,{}
2026-05-26,2026-05-26T21:00:00,daily,"{""error"":""FRED fetch failed for GVZCLS: deprecate_kwarg() missing 1 required positional argument: 'new_arg_name'""}",[],25000.0,0.0,0.0,25000.0,{}
2026-05-27,2026-05-27T21:00:00,daily,"{""gvz"":24.47,""in_pos"":false,""target_w"":0.0}",[],25000.0,0.0,0.0,25000.0,{}
2026-05-28,2026-05-28T21:00:00,daily,"{""gvz"":24.86,""in_pos"":false,""target_w"":0.0}",[],25000.0,0.0,0.0,25000.0,{}
2026-05-29,2026-05-29T21:00:00,daily,"{""gvz"":24.96,""in_pos"":false,""target_w"":0.0}",[],25000.0,0.0,0.0,25000.0,{}
