date,timestamp,frequency,signals_json,fills_json,eod_portfolio_value,pnl_day,pnl_cum,cash,positions_json
2026-05-01,2026-05-01,portfolio,"{""svxy"":{""in_pos"":false,""ratio"":1.0351,""skew_z"":0.276,""dxy_mom"":0.807,""rsp_mom"":0.624,""vrp"":9.53,""cooldown_end"":""2026-03-04T10:00:00"",""target_w"":0.0},""gld"":{""gvz"":27.09,""in_pos"":false,""target_w"":0.0},""tlt"":{""move"":69.88,""target_w"":1.0},""tsmom"":{""cum_12m"":{""SPY"":0.3269,""TLT"":-0.0049,""GLD"":0.4315,""DXY"":-0.006},""sign"":{""SPY"":1.0,""TLT"":-1.0,""GLD"":1.0,""DXY"":-1.0},""vol_60d"":{""SPY"":0.154,""TLT"":0.1036,""GLD"":0.4145,""DXY"":0.062},""risk_w"":{""SPY"":0.3499,""TLT"":0.5201,""GLD"":0.13},""target_w"":{""SPY"":0.3499,""TLT"":-0.5201,""GLD"":0.13}}}",[],99985.0,-15.0,-15.0,85587.98,"{""TLT"":{""qty"":82.843781890657,""avg_cost"":275.23475864304373},""GLD"":{""qty"":4.48566553328682,""avg_cost"":434.67999267578125},""SPY"":{""qty"":7.388036371218187,""avg_cost"":710.4299926757812}}"
2026-04-23,2026-04-23,portfolio,"{""svxy"":{""in_pos"":false,""ratio"":1.0351,""skew_z"":0.276,""dxy_mom"":0.807,""rsp_mom"":0.624,""vrp"":9.53,""cooldown_end"":""2026-03-04T10:00:00"",""target_w"":0.0}}",[],99985.0,0.0,-15.0,85587.98,"{""TLT"":{""qty"":82.843781890657,""avg_cost"":275.23475864304373},""GLD"":{""qty"":4.48566553328682,""avg_cost"":434.67999267578125},""SPY"":{""qty"":7.388036371218187,""avg_cost"":710.4299926757812}}"
2026-04-23,2026-04-23,portfolio,"{""svxy"":{""in_pos"":false,""ratio"":1.0351,""skew_z"":0.276,""dxy_mom"":0.807,""rsp_mom"":0.624,""vrp"":9.53,""cooldown_end"":""2026-03-04T10:00:00"",""target_w"":0.0}}",[],99985.0,0.0,-15.0,85587.98,"{""TLT"":{""qty"":82.843781890657,""avg_cost"":275.23475864304373},""GLD"":{""qty"":4.48566553328682,""avg_cost"":434.67999267578125},""SPY"":{""qty"":7.388036371218187,""avg_cost"":710.4299926757812}}"
2026-04-23,2026-04-23,portfolio,"{""gld"":{""gvz"":27.87,""in_pos"":false,""target_w"":0.0},""tlt"":{""move"":67.7,""target_w"":1.0}}",[],99925.85,-59.15,-74.15,85595.47,"{""TLT"":{""qty"":82.75712678106083,""avg_cost"":275.4319719942778},""GLD"":{""qty"":4.48566553328682,""avg_cost"":434.67999267578125},""SPY"":{""qty"":7.388036371218187,""avg_cost"":710.4299926757812}}"
2026-04-27,2026-04-27,portfolio,"{""svxy"":{""in_pos"":false,""ratio"":1.0351,""skew_z"":0.276,""dxy_mom"":0.807,""rsp_mom"":0.624,""vrp"":9.53,""cooldown_end"":""2026-03-04T10:00:00"",""target_w"":0.0}}",[],99925.85,0.0,-74.15,85595.47,"{""TLT"":{""qty"":82.75712678106083,""avg_cost"":275.4319719942778},""GLD"":{""qty"":4.48566553328682,""avg_cost"":434.67999267578125},""SPY"":{""qty"":7.388036371218187,""avg_cost"":710.4299926757812}}"
2026-04-27,2026-04-27,portfolio,"{""svxy"":{""in_pos"":false,""ratio"":1.0351,""skew_z"":0.276,""dxy_mom"":0.807,""rsp_mom"":0.624,""vrp"":9.53,""cooldown_end"":""2026-03-04T10:00:00"",""target_w"":0.0}}",[],99925.85,0.0,-74.15,85595.47,"{""TLT"":{""qty"":82.75712678106083,""avg_cost"":275.4319719942778},""GLD"":{""qty"":4.48566553328682,""avg_cost"":434.67999267578125},""SPY"":{""qty"":7.388036371218187,""avg_cost"":710.4299926757812}}"
2026-04-27,2026-04-27,portfolio,"{""svxy"":{""in_pos"":false,""ratio"":1.0351,""skew_z"":0.276,""dxy_mom"":0.807,""rsp_mom"":0.624,""vrp"":9.53,""cooldown_end"":""2026-03-04T10:00:00"",""target_w"":0.0}}",[],99925.85,0.0,-74.15,85595.47,"{""TLT"":{""qty"":82.75712678106083,""avg_cost"":275.4319719942778},""GLD"":{""qty"":4.48566553328682,""avg_cost"":434.67999267578125},""SPY"":{""qty"":7.388036371218187,""avg_cost"":710.4299926757812}}"
2026-04-27,2026-04-27,portfolio,"{""svxy"":{""in_pos"":false,""ratio"":1.0351,""skew_z"":0.276,""dxy_mom"":0.807,""rsp_mom"":0.624,""vrp"":9.53,""cooldown_end"":""2026-03-04T10:00:00"",""target_w"":0.0}}",[],99925.85,0.0,-74.15,85595.47,"{""TLT"":{""qty"":82.75712678106083,""avg_cost"":275.4319719942778},""GLD"":{""qty"":4.48566553328682,""avg_cost"":434.67999267578125},""SPY"":{""qty"":7.388036371218187,""avg_cost"":710.4299926757812}}"
2026-04-27,2026-04-27,portfolio,"{""svxy"":{""in_pos"":false,""ratio"":1.0351,""skew_z"":0.276,""dxy_mom"":0.807,""rsp_mom"":0.624,""vrp"":9.53,""cooldown_end"":""2026-03-04T10:00:00"",""target_w"":0.0}}",[],99925.85,0.0,-74.15,85595.47,"{""TLT"":{""qty"":82.75712678106083,""avg_cost"":275.4319719942778},""GLD"":{""qty"":4.48566553328682,""avg_cost"":434.67999267578125},""SPY"":{""qty"":7.388036371218187,""avg_cost"":710.4299926757812}}"
2026-04-27,2026-04-27,portfolio,"{""svxy"":{""in_pos"":false,""ratio"":1.0351,""skew_z"":0.276,""dxy_mom"":0.807,""rsp_mom"":0.624,""vrp"":9.53,""cooldown_end"":""2026-03-04T10:00:00"",""target_w"":0.0}}",[],99925.85,0.0,-74.15,85595.47,"{""TLT"":{""qty"":82.75712678106083,""avg_cost"":275.4319719942778},""GLD"":{""qty"":4.48566553328682,""avg_cost"":434.67999267578125},""SPY"":{""qty"":7.388036371218187,""avg_cost"":710.4299926757812}}"
