date,timestamp,frequency,signals_json,fills_json,eod_portfolio_value,pnl_day,pnl_cum,cash,positions_json
2026-05-01,2026-05-01T09:30:00,daily,"{""move"":69.88,""target_w"":1.0}","[{""ticker"":""TLT"",""qty_delta"":172.6268960198827,""price"":86.8926010131836,""cost_usd"":7.499999999999999,""notes"":""target_w=1.0000""}]",14992.5,-7.5,-7.5,-7.5,"{""TLT"":{""qty"":172.6268960198827,""avg_cost"":86.8926010131836}}"
2026-04-23,2026-04-23,daily,"{""move"":67.7,""target_w"":1.0}","[{""ticker"":""TLT"",""qty_delta"":-0.0866551095961654,""price"":86.55000305175781,""cost_usd"":0.0037499999999992617,""notes"":""target_w=1.0000""}]",14933.35,-59.15,-66.65,-0.0,"{""TLT"":{""qty"":172.54024091028654,""avg_cost"":86.8926010131836}}"
2026-04-27,2026-04-27T21:00:00,daily,"{""move"":66.97,""target_w"":1.0}",[],14890.22,-43.14,-109.78,-0.0,"{""TLT"":{""qty"":172.54024091028654,""avg_cost"":86.8926010131836}}"
2026-04-28,2026-04-28T21:00:00,daily,"{""move"":68.42,""target_w"":1.0}",[],14898.85,8.63,-101.15,-0.0,"{""TLT"":{""qty"":172.54024091028654,""avg_cost"":86.8926010131836}}"
2026-04-29,2026-04-29T21:00:00,daily,"{""move"":68.68,""target_w"":1.0}",[],14784.97,-113.88,-215.03,-0.0,"{""TLT"":{""qty"":172.54024091028654,""avg_cost"":86.8926010131836}}"
2026-04-30,2026-04-30T21:00:00,daily,"{""move"":74.33,""target_w"":1.0}",[],14760.81,-24.16,-239.19,-0.0,"{""TLT"":{""qty"":172.54024091028654,""avg_cost"":86.8926010131836}}"
2026-05-01,2026-05-01T21:00:00,daily,"{""move"":72.07,""target_w"":1.0}",[],14771.17,10.35,-228.83,-0.0,"{""TLT"":{""qty"":172.54024091028654,""avg_cost"":86.8926010131836}}"
2026-05-04,2026-05-04T21:00:00,daily,"{""move"":70.41,""target_w"":1.0}",[],14659.01,-112.15,-340.99,-0.0,"{""TLT"":{""qty"":172.54024091028654,""avg_cost"":86.8926010131836}}"
2026-05-05,2026-05-05T21:00:00,daily,"{""move"":77.86,""target_w"":1.0}",[],14739.25,80.23,-260.75,-0.0,"{""TLT"":{""qty"":172.54024091028654,""avg_cost"":86.8926010131836}}"
2026-05-06,2026-05-06T21:00:00,daily,"{""move"":76.78,""target_w"":1.0}",[],14852.26,113.01,-147.74,-0.0,"{""TLT"":{""qty"":172.54024091028654,""avg_cost"":86.8926010131836}}"
2026-05-07,2026-05-07T21:00:00,daily,"{""move"":70.63,""target_w"":1.0}",[],14779.79,-72.47,-220.21,-0.0,"{""TLT"":{""qty"":172.54024091028654,""avg_cost"":86.8926010131836}}"
2026-05-08,2026-05-08T21:00:00,daily,"{""move"":72.24,""target_w"":1.0}",[],14850.53,70.74,-149.47,-0.0,"{""TLT"":{""qty"":172.54024091028654,""avg_cost"":86.8926010131836}}"
2026-05-11,2026-05-11T21:00:00,daily,"{""move"":67.25,""target_w"":1.0}",[],14763.4,-87.13,-236.6,-0.0,"{""TLT"":{""qty"":172.54024091028654,""avg_cost"":86.8926010131836}}"
2026-05-12,2026-05-12T21:00:00,daily,"{""move"":70.74,""target_w"":1.0}",[],14664.19,-99.21,-335.81,-0.0,"{""TLT"":{""qty"":172.54024091028654,""avg_cost"":86.8926010131836}}"
2026-05-13,2026-05-13T21:00:00,daily,"{""move"":71.68,""target_w"":1.0}",[],14631.41,-32.78,-368.59,-0.0,"{""TLT"":{""qty"":172.54024091028654,""avg_cost"":86.8926010131836}}"
2026-05-14,2026-05-14T21:00:00,daily,"{""move"":70.24,""target_w"":1.0}",[],14652.11,20.7,-347.89,-0.0,"{""TLT"":{""qty"":172.54024091028654,""avg_cost"":86.8926010131836}}"
2026-05-15,2026-05-15T21:00:00,daily,"{""move"":69.63,""target_w"":1.0}",[],14434.71,-217.4,-565.29,-0.0,"{""TLT"":{""qty"":172.54024091028654,""avg_cost"":86.8926010131836}}"
2026-05-18,2026-05-18T21:00:00,daily,"{""move"":79.87,""target_w"":1.0}",[],14417.46,-17.26,-582.54,-0.0,"{""TLT"":{""qty"":172.54024091028654,""avg_cost"":86.8926010131836}}"
2026-05-19,2026-05-19T21:00:00,daily,"{""move"":86.07,""target_w"":0.0}","[{""ticker"":""TLT"",""qty_delta"":-172.54024091028654,""price"":83.0199966430664,""cost_usd"":7.162145110582929,""notes"":""target_w=0.0000""}]",14317.12,-100.33,-682.88,14317.12,{}
2026-05-20,2026-05-20T21:00:00,daily,"{""move"":85.32,""target_w"":0.0}",[],14317.12,0.0,-682.88,14317.12,{}
2026-05-21,2026-05-21T21:00:00,daily,"{""move"":81.53,""target_w"":0.0}",[],14317.12,0.0,-682.88,14317.12,{}
2026-05-22,2026-05-22T21:00:00,daily,"{""move"":79.72,""target_w"":1.0}","[{""ticker"":""TLT"",""qty_delta"":169.1032205898146,""price"":84.66500091552734,""cost_usd"":7.158562163027638,""notes"":""target_w=1.0000""}]",14309.97,-7.16,-690.03,-7.16,"{""TLT"":{""qty"":169.1032205898146,""avg_cost"":84.66500091552734}}"
2026-05-26,2026-05-26T21:00:00,daily,"{""move"":78.43,""target_w"":1.0}","[{""ticker"":""TLT"",""qty_delta"":-0.08411941587993965,""price"":85.0999984741211,""cost_usd"":0.003579281081513411,""notes"":""target_w=1.0000""}]",14383.52,73.56,-616.48,-0.0,"{""TLT"":{""qty"":169.01910117393467,""avg_cost"":84.66500091552734}}"
2026-05-27,2026-05-27T21:00:00,daily,"{""move"":74.95,""target_w"":1.0}",[],14417.33,33.8,-582.67,-0.0,"{""TLT"":{""qty"":169.01910117393467,""avg_cost"":84.66500091552734}}"
2026-05-28,2026-05-28T21:00:00,daily,"{""move"":70.9,""target_w"":1.0}",[],14491.69,74.37,-508.31,-0.0,"{""TLT"":{""qty"":169.01910117393467,""avg_cost"":84.66500091552734}}"
2026-05-29,2026-05-29T21:00:00,daily,"{""move"":69.74,""target_w"":1.0}",[],14490.0,-1.69,-510.0,-0.0,"{""TLT"":{""qty"":169.01910117393467,""avg_cost"":84.66500091552734}}"
2026-06-01,2026-06-01T21:00:00,daily,"{""move"":70.22,""target_w"":1.0}",[],14446.06,-43.95,-553.94,-0.0,"{""TLT"":{""qty"":169.01910117393467,""avg_cost"":84.66500091552734}}"
2026-06-02,2026-06-02T21:00:00,daily,"{""error"":""yfinance returned empty frame for ^MOVE""}","[{""ticker"":""TLT"",""qty_delta"":-169.01910117393467,""price"":85.44,""cost_usd"":7.220496002150489,""notes"":""target_w=0.0000""}]",14433.77,-12.29,-566.23,14433.77,{}
2026-06-03,2026-06-03T21:00:00,daily,"{""move"":73.43,""target_w"":1.0}","[{""ticker"":""TLT"",""qty_delta"":169.18206078621117,""price"":85.31500244140625,""cost_usd"":7.216883964508873,""notes"":""target_w=1.0000""}]",14426.55,-7.22,-573.45,-7.22,"{""TLT"":{""qty"":169.18206078621117,""avg_cost"":85.31500244140625}}"
2026-06-04,2026-06-04T21:00:00,daily,"{""move"":73.58,""target_w"":1.0}","[{""ticker"":""TLT"",""qty_delta"":-0.08442281000154139,""price"":85.48500061035156,""cost_usd"":0.00360844198225468,""notes"":""target_w=1.0000""}]",14455.31,28.76,-544.69,-0.0,"{""TLT"":{""qty"":169.09763797620963,""avg_cost"":85.31500244140625}}"
2026-06-05,2026-06-05T21:00:00,daily,"{""move"":71.16,""target_w"":1.0}",[],14383.44,-71.87,-616.56,-0.0,"{""TLT"":{""qty"":169.09763797620963,""avg_cost"":85.31500244140625}}"
2026-06-08,2026-06-08T21:00:00,daily,"{""move"":75.2,""target_w"":1.0}",[],14312.42,-71.02,-687.58,-0.0,"{""TLT"":{""qty"":169.09763797620963,""avg_cost"":85.31500244140625}}"
2026-06-09,2026-06-09T21:00:00,daily,"{""move"":76.98,""target_w"":1.0}",[],14393.59,81.17,-606.41,-0.0,"{""TLT"":{""qty"":169.09763797620963,""avg_cost"":85.31500244140625}}"
2026-06-10,2026-06-10T21:00:00,daily,"{""move"":77.03,""target_w"":1.0}",[],14353.0,-40.58,-647.0,-0.0,"{""TLT"":{""qty"":169.09763797620963,""avg_cost"":85.31500244140625}}"
2026-06-11,2026-06-11T21:00:00,daily,"{""move"":73.95,""target_w"":1.0}",[],14538.17,185.16,-461.83,-0.0,"{""TLT"":{""qty"":169.09763797620963,""avg_cost"":85.31500244140625}}"
2026-06-12,2026-06-12T21:00:00,daily,"{""move"":69.45,""target_w"":1.0}",[],14501.81,-36.36,-498.19,-0.0,"{""TLT"":{""qty"":169.09763797620963,""avg_cost"":85.31500244140625}}"
2026-06-15,2026-06-15T21:00:00,daily,"{""move"":69.36,""target_w"":1.0}",[],14495.05,-6.76,-504.95,-0.0,"{""TLT"":{""qty"":169.09763797620963,""avg_cost"":85.31500244140625}}"
2026-06-16,2026-06-16T21:00:00,daily,"{""move"":69.38,""target_w"":1.0}",[],14577.9,82.86,-422.1,-0.0,"{""TLT"":{""qty"":169.09763797620963,""avg_cost"":85.31500244140625}}"
2026-06-17,2026-06-17T21:00:00,daily,"{""move"":67.28,""target_w"":1.0}",[],14596.5,18.6,-403.5,-0.0,"{""TLT"":{""qty"":169.09763797620963,""avg_cost"":85.31500244140625}}"
2026-06-18,2026-06-18T21:00:00,daily,"{""move"":70.66,""target_w"":1.0}",[],14665.84,69.33,-334.16,-0.0,"{""TLT"":{""qty"":169.09763797620963,""avg_cost"":85.31500244140625}}"
2026-06-22,2026-06-22T21:00:00,daily,"{""move"":65.39,""target_w"":1.0}",[],14557.61,-108.22,-442.39,-0.0,"{""TLT"":{""qty"":169.09763797620963,""avg_cost"":85.31500244140625}}"
2026-06-23,2026-06-23T21:00:00,daily,"{""move"":70.01,""target_w"":1.0}",[],14579.59,21.98,-420.41,-0.0,"{""TLT"":{""qty"":169.09763797620963,""avg_cost"":85.31500244140625}}"
2026-06-24,2026-06-24T21:00:00,daily,"{""move"":68.78,""target_w"":1.0}",[],14775.97,196.37,-224.03,-0.0,"{""TLT"":{""qty"":169.09763797620963,""avg_cost"":85.31500244140625}}"
2026-06-25,2026-06-25T21:00:00,daily,"{""move"":69.06,""target_w"":1.0}",[],14768.14,-7.83,-231.86,-0.0,"{""TLT"":{""qty"":169.09763797620963,""avg_cost"":85.31500244140625}}"
2026-06-26,2026-06-26T21:00:00,daily,"{""move"":67.1,""target_w"":1.0}",[],14766.45,-1.69,-233.55,-0.0,"{""TLT"":{""qty"":169.09763797620963,""avg_cost"":85.31500244140625}}"
2026-06-29,2026-06-29T21:00:00,daily,"{""move"":66.79,""target_w"":1.0}",[],14793.5,27.06,-206.5,-0.0,"{""TLT"":{""qty"":169.09763797620963,""avg_cost"":85.31500244140625}}"
2026-06-30,2026-06-30T21:00:00,daily,"{""move"":68.14,""target_w"":1.0}",[],14610.03,-183.47,-389.97,-0.0,"{""TLT"":{""qty"":169.09763797620963,""avg_cost"":85.31500244140625}}"
2026-07-01,2026-07-01T21:00:00,daily,"{""move"":71.96,""target_w"":1.0}",[],14463.26,-146.78,-536.74,-0.0,"{""TLT"":{""qty"":169.09763797620963,""avg_cost"":85.31500244140625}}"
2026-07-02,2026-07-02T21:00:00,daily,"{""move"":68.56,""target_w"":1.0}",[],14462.92,-0.34,-537.08,-0.0,"{""TLT"":{""qty"":169.09763797620963,""avg_cost"":85.31500244140625}}"
2026-08-04,2026-08-04T21:00:00,daily,"{""move"":80.48,""target_w"":0.0}","[{""ticker"":""TLT"",""qty_delta"":-169.09763797620963,""price"":82.83000183105469,""cost_usd"":7.003178831598233,""notes"":""target_w=0.0000""}]",13999.35,-463.57,-1000.65,13999.35,{}
2026-08-05,2026-08-05T21:00:00,daily,"{""move"":77.56,""target_w"":1.0}","[{""ticker"":""TLT"",""qty_delta"":168.75836980190564,""price"":82.95500183105469,""cost_usd"":6.999675437961443,""notes"":""target_w=1.0000""}]",13992.35,-7.0,-1007.65,-7.0,"{""TLT"":{""qty"":168.75836980190564,""avg_cost"":82.95500183105469}}"
2026-08-06,2026-08-06T21:00:00,daily,"{""move"":73.58,""target_w"":1.0}","[{""ticker"":""TLT"",""qty_delta"":-0.08482399082294023,""price"":82.5199966430664,""cost_usd"":0.003499837718980262,""notes"":""target_w=1.0000""}]",13918.94,-73.41,-1081.06,-0.0,"{""TLT"":{""qty"":168.6735458110827,""avg_cost"":82.95500183105469}}"
2026-08-07,2026-08-07T21:00:00,daily,"{""move"":76.12,""target_w"":1.0}",[],13956.89,37.95,-1043.11,-0.0,"{""TLT"":{""qty"":168.6735458110827,""avg_cost"":82.95500183105469}}"
2026-08-10,2026-08-10T21:00:00,daily,"{""move"":72.03,""target_w"":1.0}",[],13837.13,-119.76,-1162.87,-0.0,"{""TLT"":{""qty"":168.6735458110827,""avg_cost"":82.95500183105469}}"
2026-08-11,2026-08-11T21:00:00,daily,"{""move"":75.46,""target_w"":1.0}",[],13863.28,26.14,-1136.72,-0.0,"{""TLT"":{""qty"":168.6735458110827,""avg_cost"":82.95500183105469}}"
2026-08-12,2026-08-12T21:00:00,daily,"{""move"":77.92,""target_w"":1.0}",[],13848.94,-14.34,-1151.06,-0.0,"{""TLT"":{""qty"":168.6735458110827,""avg_cost"":82.95500183105469}}"
2026-08-13,2026-08-13T21:00:00,daily,"{""move"":72.09,""target_w"":1.0}",[],13931.59,82.65,-1068.41,-0.0,"{""TLT"":{""qty"":168.6735458110827,""avg_cost"":82.95500183105469}}"
2026-08-14,2026-08-14T21:00:00,daily,"{""move"":69.23,""target_w"":1.0}",[],13837.13,-94.46,-1162.87,-0.0,"{""TLT"":{""qty"":168.6735458110827,""avg_cost"":82.95500183105469}}"
2026-08-17,2026-08-17T21:00:00,daily,"{""move"":69.58,""target_w"":1.0}",[],13725.81,-111.33,-1274.19,-0.0,"{""TLT"":{""qty"":168.6735458110827,""avg_cost"":82.95500183105469}}"
2026-08-18,2026-08-18T21:00:00,daily,"{""move"":75.63,""target_w"":1.0}",[],13773.88,48.07,-1226.12,-0.0,"{""TLT"":{""qty"":168.6735458110827,""avg_cost"":82.95500183105469}}"
2026-08-19,2026-08-19T21:00:00,daily,"{""move"":74.98,""target_w"":1.0}",[],14001.59,227.71,-998.41,-0.0,"{""TLT"":{""qty"":168.6735458110827,""avg_cost"":82.95500183105469}}"
2026-08-20,2026-08-20T21:00:00,daily,"{""move"":71.26,""target_w"":1.0}",[],13891.11,-110.48,-1108.89,-0.0,"{""TLT"":{""qty"":168.6735458110827,""avg_cost"":82.95500183105469}}"
